Epoch	EpLen	AvgRet	StdRet	MaxRet	MinRet	AvgVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
35	2000.0	4.0415974	0.7426931	6.3037133	1.9869382	4.047418	0.05481121	4.2706394	3.9767213	72000	-2.2351743e-10	0.427967	-1.8139632e-06	-0.00049865246	0.076739416	0.00036527158	0.0040048826	624.0	390.6385941505432
36	2000.0	4.088848	0.76381767	6.0352926	1.4775586	4.0656843	0.063996896	4.3775783	3.992411	74000	7.078052e-10	0.4324713	-1.770763e-05	8.127093e-05	0.07267689	0.0005995692	0.0057734377	624.0	401.64487290382385
37	2000.0	4.117265	0.7350988	6.311391	2.0586889	4.0586553	0.060127433	4.373742	3.989235	76000	-2.9802324e-11	0.4136454	0.00017024152	-0.0009188354	0.07082733	0.0008874293	0.015382812	624.0	412.65938901901245
38	2000.0	4.103728	0.78375125	6.585742	1.7781967	4.070102	0.059448943	4.3483047	3.991816	78000	9.536744e-10	0.43628982	0.00010788858	-0.0001885593	0.06838177	0.00017883403	0.0027451173	624.0	423.7173681259155
39	2000.0	4.069633	0.7862408	6.4421434	1.7815083	4.0724397	0.06915222	4.3406587	3.9781485	80000	-8.866191e-10	0.43658715	9.852483e-05	-0.000128299	0.06781803	0.0005231478	0.0071123047	624.0	434.72177028656006
40	2000.0	4.018725	0.72956556	6.089608	1.90429	4.077254	0.071129434	4.406315	3.9883595	82000	-3.874302e-10	0.4049134	-2.6188076e-05	-0.00086289644	0.06693191	0.0002770072	0.0023271483	624.0	445.75255370140076
41	2000.0	4.051406	0.75559115	6.394294	1.9168241	4.0364738	0.061521195	4.286266	3.9494345	84000	-3.1590464e-09	0.4294101	3.2437743e-05	-0.00039568543	0.063130654	0.00042615406	0.0063320315	624.0	456.77410316467285
42	2000.0	4.008875	0.72010547	6.389844	1.6970305	4.055683	0.06412494	4.349171	3.9904518	86000	1.5348197e-09	0.40116674	7.807912e-05	0.00014278293	0.060088024	0.00028945514	0.0033125	624.0	467.7627911567688
43	2000.0	4.0853496	0.78112173	6.2383494	2.1833813	4.024499	0.06512842	4.353578	3.940419	88000	1.9669533e-09	0.43508235	-3.12081e-05	-0.0013291538	0.057414167	0.000214675	0.0018691407	624.0	478.80681133270264
44	2000.0	4.0501738	0.7687528	6.4843836	1.9222189	4.075352	0.061478283	4.4044056	4.0093718	90000	3.874302e-10	0.42082214	-2.5423766e-05	-0.00055870414	0.058007352	0.0004119692	0.0035703124	624.0	489.90122413635254
45	2000.0	4.059694	0.75421274	6.4289737	1.9841404	4.0575247	0.07303126	4.3933296	3.9545407	92000	2.384186e-10	0.43396115	-2.2604823e-05	-5.5760145e-05	0.05791036	0.00017013187	0.00046679686	624.0	500.90177822113037
46	2000.0	4.0201964	0.7304768	6.231725	1.75509	4.0662885	0.05964475	4.349596	3.9918628	94000	-1.6391279e-10	0.41098678	-3.4074354e-05	-0.0002849698	0.05800106	0.00023047147	0.00067871093	624.0	511.92782068252563
47	2000.0	4.1651993	0.79743314	6.61189	1.7785757	4.049311	0.04792912	4.275673	3.9767303	96000	6.705523e-10	0.47013512	-1.4920816e-05	-0.0042394698	0.056455255	0.0002724861	0.0019013672	624.0	522.9587087631226
48	2000.0	4.058617	0.7531638	6.18377	2.2679365	4.103165	0.057089552	4.3673296	4.0307856	98000	-3.5762787e-10	0.44988	1.525283e-06	-0.00036293268	0.055666592	0.0002439101	0.0015761718	624.0	533.9630191326141
49	2000.0	4.071761	0.73877394	6.156353	1.8713514	4.073831	0.05796923	4.3522196	4.000648	100000	5.960465e-10	0.4083725	-3.158638e-05	-0.00011172891	0.05453566	0.0002487855	0.0011992188	624.0	545.0175335407257
50	2000.0	4.028262	0.7554122	6.095091	1.8662971	4.072707	0.059494063	4.3375335	3.9921725	102000	-1.192093e-10	0.42711124	0.00035518446	-0.00081163645	0.052868146	0.0009067557	0.017516602	624.0	556.0110414028168
51	2000.0	4.067664	0.7883941	5.9777975	1.789859	4.0432353	0.06036632	4.315428	3.9673584	104000	-4.0605666e-10	0.43709627	-4.726501e-05	0.00017160177	0.051355023	0.00017382005	9.2773436e-05	624.0	567.039716720581
52	2000.0	4.111115	0.7568987	6.361574	2.0097392	4.0765495	0.062011052	4.379013	4.0033135	106000	1.013279e-09	0.4331998	1.2565509e-05	-0.00032359362	0.05199545	0.0002911063	0.0033144532	624.0	578.0475780963898
53	2000.0	4.164656	0.7925236	6.2939043	2.0664399	4.117983	0.059317015	4.3620296	4.041351	108000	-3.7997963e-10	0.4457569	0.00018427691	-0.0010210574	0.050067436	0.00069883	0.013322266	624.0	589.0313220024109
54	2000.0	4.10504	0.73010635	6.573114	1.566567	4.1458845	0.070070356	4.4462533	4.0566626	110000	-9.834766e-10	0.41608065	2.9871615e-05	0.001463145	0.049786776	0.0005897521	0.0072822263	624.0	600.0144002437592
55	2000.0	4.0871277	0.7499926	6.5154037	1.7643554	4.172035	0.06893521	4.496875	4.089629	112000	1.192093e-10	0.4170436	2.1310643e-05	-0.003525138	0.046970043	0.00025184953	0.0018222657	624.0	610.9977569580078
56	2000.0	4.100009	0.7305587	6.6880226	1.8340714	4.1005864	0.056481898	4.3274827	4.0154757	114000	7.1525574e-10	0.41643018	0.00010797443	-3.5345554e-05	0.04566627	0.00020611292	0.0029277343	624.0	622.0183129310608
57	2000.0	4.084287	0.7145063	6.222211	2.1551018	4.0967355	0.06328467	4.377234	4.0113316	116000	-1.192093e-09	0.4047387	0.0004016862	-0.00036913157	0.043775756	0.00067397003	0.008052735	624.0	633.1278488636017
58	2000.0	4.0713587	0.7542614	6.1245112	1.65868	4.088574	0.061930347	4.3705826	4.005116	118000	-7.3015693e-10	0.41463044	-6.216053e-05	-5.3793192e-05	0.043055203	5.851578e-05	9.4726565e-05	624.0	644.1245729923248
59	2000.0	4.081393	0.77594924	6.3133087	1.9164268	4.0805755	0.06301731	4.3632936	4.0025444	120000	-5.6624416e-10	0.43773147	3.3888908e-05	0.0003181994	0.04212184	0.0002294954	0.0012939454	624.0	655.2156465053558
60	2000.0	4.110098	0.69875973	5.955705	1.8155324	4.0547915	0.069334865	4.351201	3.9628139	122000	8.940697e-11	0.39993054	1.9422681e-05	-0.0016499162	0.04059766	0.00024790538	0.0022294922	624.0	666.2576894760132
61	2000.0	4.0680666	0.7399533	6.215112	1.7703803	4.0893373	0.057157997	4.3459435	3.997276	124000	2.384186e-10	0.41786155	-2.2595616e-05	0.0014147162	0.041288827	0.00027472648	0.0026367188	624.0	677.263890504837
62	2000.0	4.1220183	0.75748277	6.383135	1.5641327	4.124262	0.05547829	4.384718	4.0562887	126000	1.192093e-10	0.44317156	-5.6129697e-06	0.000115036964	0.0412221	0.00020485355	0.0017197266	624.0	688.2844054698944
63	2000.0	4.1441345	0.70805234	6.035985	1.663235	4.110518	0.06033086	4.3423157	4.030568	128000	-3.874302e-10	0.40841216	-2.392018e-05	-0.0005901754	0.038874026	3.7755544e-05	0.0002783203	624.0	699.2832989692688
64	2000.0	4.1042385	0.7680114	6.515487	1.6049275	4.1443434	0.06431501	4.4175515	4.061941	130000	-4.4703485e-10	0.4628636	1.7251701e-05	-0.0004041195	0.03881428	0.0003868491	0.0051660156	624.0	710.2532246112823
65	2000.0	4.160165	0.7613775	6.5781345	2.106529	4.0924335	0.06266251	4.4058337	4.024308	132000	-7.1525574e-10	0.4203572	0.0003964734	-0.0025567114	0.037265513	0.00090656977	0.014966797	624.0	721.2278003692627
66	2000.0	4.100206	0.7529252	6.5903916	1.8217027	4.156984	0.05755922	4.399182	4.0830536	134000	3.874302e-10	0.4260963	-4.2594103e-05	-0.0008581579	0.036233947	7.7642704e-05	0.0005654297	624.0	732.2245695590973
67	2000.0	4.1507215	0.73321533	6.054324	1.8765582	4.106632	0.06771051	4.385012	4.0199833	136000	-4.1723253e-10	0.4034232	-2.1235915e-05	-0.00051778555	0.034351025	0.00010503053	0.00087011716	624.0	743.2277040481567
68	2000.0	4.1580153	0.7607192	6.220918	1.7329645	4.1340456	0.06381329	4.4086833	4.0533233	138000	5.3644184e-10	0.44141397	-5.3684773e-05	-0.00016486645	0.033324983	0.00022797423	0.0016113281	624.0	754.2104632854462
69	2000.0	4.1029043	0.7374811	6.4017534	2.0122845	4.157767	0.053407434	4.4219737	4.0931716	140000	-8.940697e-10	0.4149845	-7.2026256e-07	-0.00065883994	0.033023752	0.0001847237	0.0010957031	624.0	765.200058221817
70	2000.0	4.078168	0.73937184	6.3731213	2.1044178	4.1462355	0.0703625	4.4585676	4.058265	142000	2.0861626e-10	0.43001273	-4.0342005e-05	-0.00096935034	0.032575388	6.0482504e-05	4.296875e-05	624.0	776.2424674034119
71	2000.0	4.1648173	0.74906456	6.5609856	2.0035744	4.126159	0.05473418	4.394253	4.0505447	144000	6.258488e-10	0.4060973	5.3301196e-06	1.8060207e-05	0.03194477	6.222243e-05	0.0002675781	624.0	787.3052544593811
72	2000.0	4.1776776	0.74773645	6.7225122	1.7027277	4.1700945	0.05655553	4.4164715	4.082486	146000	2.2053719e-09	0.41593754	5.614889e-05	0.00021010637	0.03207247	0.00041625704	0.008397461	624.0	798.3655915260315
73	2000.0	4.159198	0.76096153	6.5219054	2.104259	4.1524615	0.05836535	4.464364	4.08017	148000	-4.768372e-10	0.42889345	0.00014332391	-0.00037169456	0.03146336	0.00043546455	0.008487305	624.0	809.4194166660309
74	2000.0	4.055789	0.755748	6.6489663	1.7591085	4.1781335	0.06570218	4.4465084	4.0880876	150000	-5.066395e-10	0.4445818	-1.6757876e-05	-0.004370123	0.030811641	2.7404601e-05	7.03125e-05	624.0	820.447637796402
75	2000.0	4.1345816	0.7495421	6.973796	1.9019463	4.1307282	0.06264636	4.4284735	4.045998	152000	-1.192093e-10	0.43983665	2.5394203e-05	-0.00012040138	0.03052947	0.00021249222	0.0021689453	624.0	831.4872071743011
76	2000.0	4.109567	0.7777074	5.974141	1.8154044	4.122585	0.059913844	4.385314	4.0562077	154000	-4.768372e-10	0.45103008	4.2633834e-05	0.00019857287	0.03049702	0.0002461905	0.0034775392	624.0	842.5617995262146
77	2000.0	4.13635	0.7247713	5.8828907	1.5688317	4.137508	0.062620014	4.439354	4.060567	156000	6.3329936e-10	0.41025263	3.946231e-05	-3.5762787e-05	0.0298246	0.00024263434	0.003147461	624.0	853.6099150180817
78	2000.0	4.1079574	0.7485862	6.343067	1.7457519	4.127961	0.059496384	4.414527	4.055915	158000	-6.5565114e-10	0.42486015	2.6498854e-05	0.0002374053	0.029889708	8.5816544e-05	0.0012529297	624.0	864.6427004337311
79	2000.0	4.0449805	0.7383261	6.2476554	1.9059657	4.138188	0.07046211	4.46784	4.056899	160000	3.5762787e-10	0.41357836	6.564558e-06	-0.0026726425	0.02908586	4.423231e-05	0.0007607422	624.0	875.6475069522858
80	2000.0	4.088928	0.77166915	6.0718827	1.4150044	4.0805926	0.07395678	4.3631277	3.9726217	162000	-1.3411046e-10	0.43841642	0.000105008796	-0.00034072995	0.029100524	0.00021250232	0.0026669921	624.0	886.6842265129089
81	2000.0	4.1164265	0.78678966	6.4325795	1.6336406	4.0840526	0.066933766	4.3765774	3.9929562	164000	2.2649767e-09	0.44548434	1.17573745e-05	2.9027462e-05	0.029341364	0.00014741032	0.0011455078	624.0	897.6958973407745
