Epoch	EpLen	AvgRet	StdRet	MaxRet	MinRet	AvgVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
92	2000.0	4.1615753	0.7867202	6.209086	1.2097389	4.0706005	0.05965468	4.3886695	3.9859376	186000	2.9802324e-10	0.46473444	5.9865506e-05	-0.0035887957	0.030057773	0.00027591278	0.00412793	624.0	855.5541849136353
93	2000.0	4.140458	0.78553104	6.477162	1.8272587	4.124081	0.06964048	4.443994	4.0194144	188000	1.6614795e-09	0.45525974	-4.3356504e-05	-0.00071173906	0.02995473	0.00020236983	0.0025068359	624.0	864.7225012779236
94	2000.0	4.148448	0.7696194	6.609774	1.6145029	4.1281013	0.06800955	4.4243207	4.030491	190000	4.768372e-10	0.43993503	2.6029886e-05	-0.00028267503	0.029823942	0.00017960402	0.0015175781	624.0	873.8858387470245
95	2000.0	4.128211	0.7630492	6.6540875	2.0220904	4.1224213	0.069487005	4.452876	4.0372257	192000	-2.384186e-10	0.42985547	-5.6470635e-06	-4.7683716e-07	0.029366972	0.00022323558	0.0026015625	624.0	883.0520279407501
96	2000.0	4.133405	0.78494805	6.32702	1.8695437	4.1534452	0.058610246	4.453948	4.0776052	194000	6.705523e-10	0.44479826	1.5083366e-05	-0.00028184056	0.028838756	0.00017711344	0.00171875	624.0	892.2175095081329
97	2000.0	4.1732907	0.7283863	6.472512	2.290086	4.153538	0.06941835	4.436676	4.056548	196000	1.013279e-09	0.42146364	8.825094e-05	-0.00054576993	0.028439235	0.00026917062	0.0033408203	624.0	901.3894672393799
98	2000.0	4.097746	0.7293603	6.0411215	2.0358536	4.1681547	0.06431388	4.489191	4.078809	198000	1.1622906e-09	0.4048539	0.00013227946	-0.0017697215	0.02836658	0.0004026832	0.0060556643	624.0	910.5678701400757
99	2000.0	4.0863667	0.7251343	6.3238673	2.1752927	4.135913	0.064496696	4.421296	4.0443807	200000	-1.1324883e-09	0.3934271	0.00014028444	-0.0012907386	0.02821721	0.0004483057	0.0049111326	624.0	919.745555639267
100	2000.0	4.104126	0.76062924	6.342096	2.2142117	4.105755	0.0559045	4.3607454	4.0251365	202000	2.384186e-10	0.42656332	-2.8865936e-06	-0.00017428398	0.027923753	0.00012177983	0.0014150391	624.0	928.955246925354
101	2000.0	4.1037126	0.7859468	6.69771	1.2460139	4.097766	0.061075278	4.4451528	4.0329022	204000	8.940697e-11	0.44194296	0.00024633182	-0.0007879436	0.02768513	0.00044962994	0.0051572267	624.0	938.1594722270966
102	2000.0	4.165251	0.7509337	6.3212266	2.0670044	4.123774	0.06420917	4.4309735	4.0309615	206000	-1.1324883e-09	0.42315573	-2.7661712e-05	-0.0006607473	0.027330853	0.0002190984	0.0028476561	624.0	947.3739783763885
103	2000.0	4.1117554	0.73868257	6.3273354	2.1595597	4.150049	0.06909614	4.49073	4.0504313	208000	-3.5762787e-10	0.42713103	8.035708e-05	-0.0008380711	0.02725501	0.00029655686	0.0036689453	624.0	956.6077036857605
104	2000.0	4.1419725	0.76091236	7.152101	2.2631366	4.1273437	0.070890695	4.4769993	4.0248914	210000	4.4703485e-10	0.44881123	0.000129668	-6.446242e-05	0.026839586	0.00029508033	0.003999023	624.0	965.8688952922821
105	2000.0	4.1180167	0.77601105	6.5174236	1.7305341	4.145664	0.07261714	4.4771347	4.0521555	212000	-4.842878e-10	0.446915	7.882152e-05	-0.00035181642	0.026477363	0.00029407075	0.0050009764	624.0	975.1274166107178
106	2000.0	4.195785	0.73025584	6.101605	2.2235267	4.1348934	0.06903653	4.4873757	4.0303774	214000	-3.054738e-10	0.41161907	0.00016401647	-0.00081804395	0.026195731	0.0003678564	0.005366211	624.0	984.3906502723694
107	2000.0	4.114218	0.7254836	6.1297717	2.089504	4.1437964	0.062655285	4.475857	4.054055	216000	-2.384186e-10	0.41946253	-1.6509295e-05	-0.0009908974	0.026261795	0.00017341557	0.0016015625	624.0	993.6676230430603
108	2000.0	4.0771203	0.74027115	7.129295	1.8802648	4.1131783	0.058940794	4.4020114	4.046337	218000	-8.3446505e-10	0.41751692	3.1774343e-05	-0.00077971816	0.02587766	0.00025781078	0.0040048826	624.0	1002.9565711021423
109	2000.0	4.1090283	0.73046356	6.373229	1.569015	4.086673	0.06678313	4.4080157	3.9986696	220000	-4.321337e-10	0.4104508	2.2574166e-05	0.0002527833	0.026185617	9.114262e-05	0.00060546875	624.0	1012.2395792007446
110	2000.0	4.0892735	0.70566356	6.0038853	2.001202	4.0736375	0.07008502	4.431951	3.9738612	222000	-7.1525574e-10	0.39819896	0.00013370308	-0.00026521087	0.025597388	0.00037151357	0.004583984	624.0	1021.5189638137817
111	2000.0	4.1448708	0.75206226	6.7237563	2.2400146	4.0820127	0.061532795	4.3504486	3.986045	224000	-2.384186e-10	0.43773422	0.00011586834	-0.0017845631	0.025703607	0.00024730162	0.0031513672	624.0	1030.8355515003204
112	2000.0	4.128015	0.7384993	6.3850865	1.6983075	4.1077013	0.0635093	4.4152393	4.017996	226000	-6.5565114e-10	0.44758612	6.092072e-06	-0.0003142953	0.024923502	0.00014240004	0.002727539	624.0	1040.0670747756958
113	2000.0	4.0983925	0.73292816	6.064253	2.253604	4.1107497	0.07121182	4.462705	4.013065	228000	-1.5497208e-09	0.41820037	7.945866e-05	-0.0005309284	0.024520442	0.0002287538	0.0031435548	624.0	1049.2749943733215
