arch,N,delay,AvgRet,StdRet,seed
ds,8,15,1.0344548225402832,0.05519559979438782,4
ds,8,20,0.9624933004379272,0.05633268877863884,0
ds,8,20,0.9514698386192322,0.06353727728128432,1
ds,8,20,0.9430587291717528,0.07084224373102188,2
ds,8,20,0.9607319831848145,0.06329609453678131,3
ds,8,20,0.9773179292678832,0.05996239930391312,4
ds,8,25,0.8577691316604614,0.06018085777759553,0
ds,8,25,0.865139365196228,0.05749703198671341,1
ds,8,25,0.8869601488113403,0.05461714416742325,2
ds,8,25,0.9006763696670532,0.06305347383022307,3
ds,8,25,0.8793331384658813,0.06228720024228096,4
ds,8,30,0.8253697156906128,0.06401477754116057,0
ds,8,30,0.8358726501464844,0.057435326278209686,1
ds,8,30,0.6940875649452211,0.07219181954860687,2
ds,8,30,0.7571862936019897,0.06643154472112656,3
ds,8,30,0.7542660236358643,0.06165442243218424,4
ds,8,35,0.7403829097747803,0.06950195878744125,0
ds,8,35,0.7884334921836853,0.058364942669868476,1
ds,8,35,0.7532864809036255,0.07120920717716217,2
ds,8,35,0.7830169796943665,0.06043741479516029,3
ds,8,35,0.7592617273330688,0.0590701587498188,4
ds,8,40,0.7209958434104919,0.04972096160054207,0
ds,8,40,0.7490329742431641,0.05980183556675911,1
ds,8,40,0.6593692302703857,0.06501627713441849,2
ds,8,40,0.6240488290786743,0.07175368070602417,3
ds,8,40,0.6046178340911865,0.07074393332004547,4
ds,8,45,0.03579244017601013,0.015877950936555862,0
ds,8,45,0.614382803440094,0.0562950111925602,1
ds,8,45,0.6878877878189087,0.06309614330530168,2
ds,8,45,0.699756383895874,0.06077477708458901,3
ds,8,45,0.6575136780738831,0.06687180697917937,4
ds,8,50,0.5371451377868652,0.06958641856908797,0
ds,8,50,0.6446866989135742,0.06611740589141846,1
ds,8,50,-0.00888260453939438,0.0707838237285614,2
ds,8,50,0.5461741685867311,0.06996674835681915,3
ds,8,50,0.5641215443611145,0.05559557676315308,4
ds,16,5,1.1880574226379397,0.048248842358589165,0
ds,16,5,1.168652057647705,0.04049598425626755,1
ds,16,5,1.1941723823547363,0.04271920397877693,2
ds,16,5,1.170996904373169,0.044696521013975136,3
ds,16,5,1.18348228931427,0.04365644976496697,4
ds,16,10,1.0234134197235107,0.04512815177440643,0
ds,16,10,1.0202820301055908,0.04671623557806015,1
ds,16,10,0.9982706308364868,0.04584859684109688,2
ds,16,10,0.8797195553779602,0.040145955979824066,3
ds,16,10,1.0042353868484497,0.04010456055402757,4
ds,16,15,0.9140751361846924,0.04575104638934136,0
ds,16,15,0.9028419256210328,0.03597457334399223,1
ds,16,15,0.8910863995552063,0.03889052197337151,2
ds,16,15,0.9357309937477112,0.03970203921198845,3
ds,16,15,0.9416260719299316,0.04925338923931122,4
ds,16,20,0.8714114427566528,0.04810013249516487,0
ds,16,20,0.8735176324844359,0.049838364124298096,1
ds,16,20,0.7880860567092896,0.045671772211790085,2
ds,16,20,0.8936302065849304,0.04160862788558006,3
ds,16,20,0.88029944896698,0.0442592054605484,4
ds,16,25,0.8646243214607239,0.039034061133861535,0
ds,16,25,0.8260316848754883,0.05046403780579567,1
ds,16,25,0.8509877920150757,0.04122280701994896,2
ds,16,25,0.8447045087814331,0.040059201419353485,3
ds,16,25,0.7968780398368835,0.046816952526569366,4
ds,16,30,0.8292350769042969,0.04569631442427635,0
ds,16,30,0.7359620332717896,0.05186086148023605,1
ds,16,30,0.6132209897041321,0.0430917851626873,2
ds,16,30,0.8215327858924866,0.04337535798549652,3
ds,16,30,0.7316912412643433,0.05397884175181389,4
ds,16,35,0.6556082963943481,0.043980225920677185,0
ds,16,35,0.6827849745750427,0.046246185898780816,1
ds,16,35,0.7913178205490112,0.03993375971913338,2
ds,16,35,0.528826892375946,0.03946550935506821,3
ds,16,35,0.6877765655517578,0.058795429766178124,4
ds,16,40,0.3268306255340576,0.05335970968008042,0
ds,16,40,0.6856845021247864,0.03930078074336052,1
